5S_rRNA	0
7SK	6
A1BG	39
A1BG-AS1	459
A1CF	0
A2M	916
A2M-AS1	10
A2ML1	0
A2ML1-AS1	1
A2ML1-AS2	0
A2MP1	0
A3GALT2	4
A4GALT	918
A4GNT	0
AAAS	1005
AACS	839
AACSP1	0
AADAC	2
AADACL2	0
AADACL2-AS1	1
AADACL3	0
AADACL4	4
AADACP1	3
AADAT	118
AAGAB	991
AAK1	4861
AAMDC	177
AAMP	1292
AANAT	1
AAR2	810
AARD	19
AARS	7606
AARS2	533
AARSD1	63
AARSP1	0
AASDH	460
AASDHPPT	976
AASS	1096
AATBC	0
AATF	728
AATK	21
AB019440.1	0
ABALON	2
ABAT	346
ABBA01006766.1	0
ABBA01045074.1	0
ABBA01045074.2	0
ABC7-43041300I9.1	0
ABCA1	4840
ABCA10	131
ABCA11P	30
ABCA12	8
ABCA13	30
ABCA17P	5
ABCA2	2634
ABCA3	245
ABCA4	21
ABCA5	1524
ABCA6	219
ABCA7	289
ABCA8	373
ABCA9	116
ABCA9-AS1	0
ABCB1	30
ABCB10	743
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	0
ABCB4	95
ABCB5	0
ABCB6	105
ABCB7	738
ABCB8	818
ABCB9	508
ABCC1	10628
ABCC10	1085
ABCC11	1
ABCC12	0
ABCC13	0
ABCC2	51
ABCC3	3461
ABCC4	981
ABCC5	2261
ABCC5-AS1	0
ABCC6	43
ABCC6P1	4
ABCC6P2	5
ABCC8	0
ABCC9	230
ABCD1	842
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0
ABCD3	1349
ABCD4	878
ABCE1	2342
ABCF1	932
ABCF2	1723
ABCF2P1	0
ABCF2P2	0
ABCF3	1322
ABCG1	0
ABCG2	15
ABCG4	3
ABCG5	0
ABCG8	0
ABHD1	3
ABHD10	481
ABHD11	173
ABHD11-AS1	29
ABHD12	994
ABHD12B	0
ABHD13	582
ABHD14A	42
ABHD14A-ACY1	0
ABHD14B	783
ABHD15	432
ABHD15-AS1	0
ABHD16A	17
ABHD16B	0
ABHD17A	1391
ABHD17AP1	0
ABHD17AP2	0
ABHD17AP3	0
ABHD17AP4	0
ABHD17AP5	1
ABHD17AP6	1
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	387
ABHD17C	566
ABHD18	413
ABHD2	4485
ABHD3	48
ABHD4	2403
ABHD5	882
ABHD6	144
ABHD8	392
ABI1	2098
ABI1P1	0
ABI2	4129
ABI3	1
ABI3BP	9883
ABITRAM	301
ABITRAMP1	0
ABL1	7854
